                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5501,                 4.1632,                 1.4864,                0.00109,                0.21973,                0.05114,                 0.0338,                 1.4131,                 4.4449,                 1.3994,                  0.073,                  0.003,                  0.003
                      1,                 1.4144,                 3.2777,                 1.3621,                0.79919,                0.07538,                0.17952,                0.10792,                 1.3345,                 3.7368,                 1.3218,                0.04504,              0.0060396,              0.0060396
                      2,                 1.4597,                 2.5575,                 1.3966,                0.46119,                0.23228,                0.28323,                0.15787,                 1.5734,                 3.1037,                 1.5908,               0.017018,              0.0090178,              0.0090178
                      3,                 1.4314,                 2.1734,                 1.3852,                 0.3849,                0.41144,                0.33079,                0.19885,                 1.4754,                 2.5732,                 1.5217,               0.009703,               0.009703,               0.009703
                      4,                 1.3401,                 2.0144,                 1.3544,                0.43741,                 0.4244,                0.30106,                0.16097,                 1.7033,                 2.6677,                 1.7437,               0.009703,               0.009703,               0.009703
                      5,                 1.3684,                 1.8749,                  1.328,                0.44645,                0.44067,                0.33329,                0.17677,                 1.5147,                 2.4007,                 1.4632,               0.009604,               0.009604,               0.009604
                      6,                 1.3196,                 1.7744,                 1.3066,                0.48215,                0.52845,                0.39935,                0.22551,                 1.4925,                 2.1772,                 1.5088,               0.009505,               0.009505,               0.009505
                      7,                 1.3324,                 1.7517,                 1.2903,                0.47333,                0.51861,                0.39039,                0.22244,                 1.5096,                 2.4162,                 1.5088,               0.009406,               0.009406,               0.009406
                      8,                 1.3307,                 1.7431,                 1.2964,                0.47021,                0.63378,                0.43955,                0.25659,                 1.4044,                 2.0318,                 1.3826,               0.009307,               0.009307,               0.009307
                      9,                 1.3178,                 1.6862,                 1.2632,                0.47053,                0.60788,                 0.4569,                0.26332,                 1.3664,                 1.9173,                  1.327,               0.009208,               0.009208,               0.009208
                     10,                 1.3188,                 1.6716,                 1.2692,                0.51334,                0.57587,                0.43183,                0.25647,                 1.4043,                 1.9108,                 1.3558,               0.009109,               0.009109,               0.009109
                     11,                 1.2934,                 1.6691,                 1.2613,                0.47502,                0.64462,                0.45551,                0.27012,                 1.3615,                 1.8216,                 1.3368,                0.00901,                0.00901,                0.00901
